phase_harmonic_01	phase_harmonic_02	phase_harmonic_03	phase_harmonic_04	phase_harmonic_05	phase_harmonic_06	phase_harmonic_07	phase_harmonic_08	phase_harmonic_09	phase_harmonic_10	phase_harmonic_11	phase_harmonic_12	phase_harmonic_13	phase_harmonic_14	phase_harmonic_15	phase_harmonic_16	phase_svd_01	phase_svd_02	phase_svd_03	phase_svd_04	phase_svd_05
-0.8891240701	0.8891240701	-0.8891240701	0.8891240701	0.8891240701	-0.8891240701	0.8891240701	-0.8891240701	0.8891240701	-0.8891240701	0.8891240701	-0.8891240701	0.8891240701	-0.8891240701	0.8891240701	-0.8891240701	-0.4270856148	-0.8891240701	1.701026706	1.266766354	-0.9176366361
-0.4398297473	0.4398297473	-0.4398297473	0.4398297473	0.4398297473	-0.4398297473	0.4398297473	-0.4398297473	0.4398297473	-0.4398297473	0.4398297473	-0.4398297473	0.4398297473	-0.4398297473	0.4398297473	-0.4398297473	0.1889021428	-0.4398297473	1.760830722	0.3082879723	0.3124405618
0.3262086591	-0.3262086591	0.3262086591	-0.3262086591	-0.3262086591	0.3262086591	-0.3262086591	0.3262086591	-0.3262086591	0.3262086591	-0.3262086591	0.3262086591	-0.3262086591	0.3262086591	-0.3262086591	0.3262086591	0.7560596655	0.3262086591	1.676235314	0.4890728627	0.4000850201
0.7226137063	-0.7226137063	0.7226137063	-0.7226137063	-0.7226137063	0.7226137063	-0.7226137063	0.7226137063	-0.7226137063	0.7226137063	-0.7226137063	0.7226137063	-0.7226137063	0.7226137063	-0.7226137063	0.7226137063	1.276201603	0.7226137063	1.678170621	1.007487156	-0.05199660138
-0.9405781957	0.9405781957	-0.9405781957	0.9405781957	0.9405781957	-0.9405781957	0.9405781957	-0.9405781957	0.9405781957	-0.9405781957	0.9405781957	-0.9405781957	0.9405781957	-0.9405781957	0.9405781957	-0.9405781957	-0.6573802967	-0.9405781957	1.463895108	1.38136494	-1.082161118
-0.2212925756	0.2212925756	-0.2212925756	0.2212925756	0.2212925756	-0.2212925756	0.2212925756	-0.2212925756	0.2212925756	-0.2212925756	0.2212925756	-0.2212925756	0.2212925756	-0.2212925756	0.2212925756	-0.2212925756	-0.08566778506	-0.2212925756	1.753166672	0.305643609	0.6494328792
0.6627454958	-0.6627454958	0.6627454958	-0.6627454958	-0.6627454958	0.6627454958	-0.6627454958	0.6627454958	-0.6627454958	0.6627454958	-0.6627454958	0.6627454958	-0.6627454958	0.6627454958	-0.6627454958	0.6627454958	1.24756788	0.6627454958	1.744747022	0.2757252574	0.9521796648
0.9372124529	-0.9372124529	0.9372124529	-0.9372124529	-0.9372124529	0.9372124529	-0.9372124529	0.9372124529	-0.9372124529	0.9372124529	-0.9372124529	0.9372124529	-0.9372124529	0.9372124529	-0.9372124529	0.9372124529	1.402111417	0.9372124529	1.405499347	1.311787444	-0.7727095228
-0.7953643973	0.7953643973	-0.7953643973	0.7953643973	0.7953643973	-0.7953643973	0.7953643973	-0.7953643973	0.7953643973	-0.7953643973	0.7953643973	-0.7953643973	0.7953643973	-0.7953643973	0.7953643973	-0.7953643973	-0.05720985014	-0.7953643973	1.637175809	0.9680562489	-0.5498653453
0.08923600839	-0.08923600839	0.08923600839	-0.08923600839	-0.08923600839	0.08923600839	-0.08923600839	0.08923600839	-0.08923600839	0.08923600839	-0.08923600839	0.08923600839	-0.08923600839	0.08923600839	-0.08923600839	0.08923600839	-0.06685386672	0.08923600839	1.697215617	0.3444572771	0.4673033195
1.647602398	-1.647602398	1.647602398	-1.647602398	-1.647602398	1.647602398	-1.647602398	1.647602398	-1.647602398	1.647602398	-1.647602398	1.647602398	-1.647602398	1.647602398	-1.647602398	1.647602398	2.462211324	1.647602398	1.543059643	-0.03391531543	0.6518209718
-2.008926875	2.008926875	-2.008926875	2.008926875	2.008926875	-2.008926875	2.008926875	-2.008926875	2.008926875	-2.008926875	2.008926875	-2.008926875	2.008926875	-2.008926875	2.008926875	-2.008926875	-0.9499429854	-2.008926875	1.061570825	-1.406339905	0.7490132573
0.08656303994	-0.08656303994	0.08656303994	-0.08656303994	-0.08656303994	0.08656303994	-0.08656303994	0.08656303994	-0.08656303994	0.08656303994	-0.08656303994	0.08656303994	-0.08656303994	0.08656303994	-0.08656303994	0.08656303994	0.1030338662	0.08656303994	1.043525744	-2.363287329	2.071823845
